                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4221,                 4.8713,                      0,                 11.773,                 2.3937,                0.26984,                0.23005,                0.13805,                0.04065,                0.27169,                0.26797,                0.19183,                0.12318,                 2.8676,                 2.2771,                      0,                 4.2298,                 1.2178,                0.00026,                0.00026,                0.00026
                      2,                 2.7614,                 1.5561,                      0,                 1.8424,                 1.1903,                0.13237,                 0.1784,                0.06945,                0.01766,                0.47665,                0.40845,                0.43639,                0.32133,                 3.2654,                 1.5565,                      0,                 2.5713,                 1.2059,             0.00053893,             0.00053893,             0.00053893
                      3,                 2.3856,                0.87926,                      0,                 1.3427,                 1.0627,                0.25335,                0.44131,                0.19467,                0.04517,                0.54885,                0.67136,                0.65305,                0.52119,                 2.9268,                 1.1299,                      0,                 1.7764,                 1.1851,             0.00081675,             0.00081675,             0.00081675
                      4,                 2.2803,                0.74159,                      0,                  1.214,                 1.0336,                0.72123,                0.70423,                0.69572,                0.25977,                0.79555,                0.78557,                0.82745,                0.68997,                 2.2562,                 0.9529,                      0,                 1.2427,                 1.0069,              0.0010935,              0.0010935,              0.0010935
                      5,                 2.2375,                0.70233,                      0,                 1.1657,                 1.0178,                0.80974,                  0.723,                0.79133,                0.30576,                 0.8615,                0.78848,                0.87446,                0.73838,                 2.1579,                0.71923,                      0,                 1.1093,                0.98892,              0.0013691,              0.0013691,              0.0013691
                      6,                 2.2115,                0.70508,                      0,                 1.1498,                 1.0097,                0.85492,                0.66667,                0.75396,                0.32064,                0.87999,                0.71362,                0.83553,                0.72592,                 2.0244,                0.65796,                      0,                 1.0675,                0.95616,              0.0016436,              0.0016436,              0.0016436
                      7,                 2.1914,                 0.6629,                      0,                 1.1197,                 1.0099,                0.82707,                0.66667,                0.76077,                0.30309,                0.85356,                0.74648,                0.84665,                0.73083,                 2.0893,                0.61793,                      0,                 1.0895,                0.98121,               0.001917,               0.001917,               0.001917
                      8,                 2.2079,                0.63133,                      0,                  1.175,                 1.0056,                0.78979,                0.79378,                0.82337,                0.33819,                0.84508,                0.87075,                 0.9102,                0.77986,                 2.0686,                0.66158,                      0,                 1.1239,                0.97893,              0.0019723,              0.0019723,              0.0019723
                      9,                 2.1186,                0.62455,                      0,                 1.1005,                0.99306,                0.78049,                0.77465,                0.81867,                0.36005,                0.81345,                0.84038,                0.88366,                0.76093,                 1.9641,                0.60512,                      0,                 1.0251,                0.94818,              0.0019723,              0.0019723,              0.0019723
                     10,                 2.1531,                0.61449,                      0,                 1.0821,                 1.0022,                0.84689,                0.76056,                0.83314,                 0.3447,                0.88411,                 0.8216,                0.91308,                0.79034,                 2.1336,                0.59761,                      0,                  1.215,                 0.9778,              0.0019683,              0.0019683,              0.0019683
                     11,                 2.0757,                0.57048,                      0,                  1.034,                0.98383,                0.77674,                0.70892,                0.73774,                0.26833,                0.82306,                0.78618,                0.87182,                 0.7519,                 2.0854,                0.59076,                      0,                 1.7433,                0.95525,              0.0019644,              0.0019644,              0.0019644
                     12,                 2.0335,                0.56923,                      0,                 1.0042,                0.98867,                0.87659,                0.77934,                0.85829,                0.39304,                0.89177,                0.84038,                0.92308,                0.81944,                 1.9065,                0.52278,                      0,                 1.1112,                0.92496,              0.0019604,              0.0019604,              0.0019604
                     13,                 2.0149,                0.56422,                      0,                0.99765,                 0.9675,                0.78666,                0.77901,                0.79095,                0.34483,                0.80492,                0.86854,                0.90164,                0.80061,                 1.9353,                0.50957,                      0,                 1.4535,                0.93317,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.9542,                0.55265,                      0,                0.97296,                0.94341,                0.87044,                0.76056,                0.84878,                0.38612,                0.85958,                0.83348,                0.92292,                 0.8275,                 1.8965,                0.47859,                      0,                 1.2285,                 0.9248,              0.0019525,              0.0019525,              0.0019525
                     15,                  1.948,                0.54558,                      0,                0.95299,                0.96372,                0.82684,                0.77465,                 0.8298,                0.37135,                 0.8459,                0.82466,                0.90593,                0.79924,                 1.9082,                0.49399,                      0,                 1.0527,                0.93058,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.9448,                0.52963,                      0,                0.96552,                0.94765,                0.82448,                0.72777,                0.83065,                0.37752,                 0.8425,                0.79812,                0.88317,                0.79538,                 1.9545,                0.47789,                      0,                 1.2899,                0.93588,              0.0019446,              0.0019446,              0.0019446
                     17,                  1.946,                0.51233,                      0,                0.97586,                0.94733,                0.68039,                0.65728,                0.65377,                0.24471,                0.71469,                 0.7409,                0.76937,                0.67909,                  2.237,                0.57231,                      0,                 1.2197,                0.97554,              0.0019406,              0.0019406,              0.0019406
                     18,                  1.945,                0.50552,                      0,                0.98078,                0.95611,                0.83349,                  0.705,                0.76608,                0.30281,                0.87547,                0.76995,                0.87667,                0.77539,                 2.1125,                  0.513,                      0,                 1.0803,                0.96126,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.9106,                0.48844,                      0,                0.95063,                0.94718,                0.81146,                0.70721,                0.82028,                0.35118,                0.82196,                0.73239,                0.85904,                0.77118,                 1.9697,                0.57393,                      0,                 1.0137,                 0.9321,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.9176,                0.48429,                      0,                0.92558,                0.94422,                0.87581,                  0.723,                0.83406,                0.37521,                 0.9048,                0.74648,                0.87764,                0.78602,                 1.9827,                0.58841,                      0,                  1.052,                0.93712,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.8902,                0.47631,                      0,                0.92678,                0.94341,                0.90365,                0.70455,                0.82765,                0.39776,                0.82047,                0.81221,                0.89892,                0.80985,                 1.9153,                0.45407,                      0,                0.91814,                0.92948,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.8981,                0.46783,                      0,                0.91979,                0.93714,                0.88066,                0.83145,                0.89082,                0.41128,                0.89856,                0.85915,                0.93059,                0.83685,                 1.8463,                0.42207,                      0,                0.88747,                0.91474,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.8674,                0.46467,                      0,                0.89119,                0.93803,                0.86724,                0.78404,                0.85996,                0.40268,                0.85677,                0.88732,                0.94074,                0.83807,                 1.9401,                0.45211,                      0,                 1.0482,                 0.9374,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.8711,                0.47164,                      0,                0.91824,                0.94456,                0.85558,                0.86385,                0.91019,                0.41636,                0.85676,                0.89863,                 0.9374,                0.83241,                 1.8513,                0.47394,                      0,                 1.0231,                0.91328,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.8539,                0.46344,                      0,                0.90777,                0.93248,                0.87386,                0.83099,                0.88662,                0.42964,                0.90195,                0.86377,                0.92977,                0.83471,                 1.8247,                0.43081,                      0,                0.89264,                0.90785,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.8232,                0.44227,                      0,                0.89983,                0.91746,                0.83411,                0.79343,                0.86371,                0.42025,                0.83313,                0.84382,                0.91377,                0.82195,                 1.8416,                0.44481,                      0,                 1.0044,                0.91053,               0.001905,               0.001905,               0.001905
