                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.876,                0.44537,                      0,                0.93908,                0.93635,                0.87032,                0.80751,                0.89581,                0.40455,                0.80482,                0.89202,                0.92003,                0.82654,                  1.948,                0.46966,                      0,                0.91797,                0.94203,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.9442,                0.47394,                      0,                0.97822,                0.94719,                 0.8544,                0.85406,                0.88739,                0.42649,                0.88503,                0.87324,                 0.9254,                0.83176,                 1.8483,                0.45265,                      0,                0.92147,                0.92967,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.9468,                0.47103,                      0,                0.95899,                0.95066,                0.89339,                0.79343,                0.89255,                0.41078,                0.87545,                0.82629,                 0.9172,                0.82075,                 1.9129,                0.44264,                      0,                0.90197,                0.95079,              0.0019089,              0.0019089,              0.0019089
                     26,                   1.89,                0.43658,                      0,                0.92423,                0.94635,                0.86203,                0.75587,                0.86579,                0.41647,                0.88796,                0.81862,                0.91269,                0.82463,                 1.8276,                0.43864,                      0,                0.92911,                0.93421,               0.001905,               0.001905,               0.001905
                     27,                 1.9152,                0.44745,                      0,                 0.9449,                0.93333,                0.83597,                0.82629,                0.88838,                 0.4247,                0.86024,                0.85446,                0.92433,                0.82394,                 1.7995,                0.42157,                      0,                0.92366,                0.92367,               0.001901,               0.001901,               0.001901
                     28,                 1.9154,                0.42404,                      0,                0.95527,                0.93358,                0.81589,                0.80282,                0.87287,                0.40495,                0.85171,                0.86854,                0.92197,                0.84303,                 1.9423,                0.41276,                      0,                0.92955,                0.93923,               0.001897,               0.001897,               0.001897
                     29,                 1.8227,                0.41683,                      0,                 0.9274,                 0.9326,                0.87801,                0.77719,                0.87957,                0.41686,                0.89494,                0.79989,                0.91067,                 0.8223,                 1.8771,                0.38874,                      0,                0.91233,                0.93172,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.8218,                0.44159,                      0,                0.89319,                0.92577,                 0.8683,                0.80751,                0.86012,                0.40924,                 0.9079,                0.84507,                0.91974,                0.81838,                 1.9095,                0.43216,                      0,                0.96096,                0.94338,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.8653,                0.42664,                      0,                0.92362,                0.92931,                0.89092,                0.75117,                0.87271,                0.42538,                 0.9074,                0.78214,                0.90881,                0.82154,                 1.7562,                0.40536,                      0,                0.97194,                0.92007,              0.0018852,              0.0018852,              0.0018852
                     32,                  1.892,                0.43891,                      0,                0.94137,                0.92576,                0.89843,                0.83053,                0.91364,                0.43857,                0.90887,                 0.8428,                0.93784,                0.85143,                 1.9008,                0.42948,                      0,                0.93453,                0.92956,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.8174,                0.42003,                      0,                0.88294,                0.93562,                0.88143,                0.79812,                0.89184,                 0.4294,                0.89752,                0.81221,                 0.9198,                0.84348,                 1.8445,                0.39965,                      0,                0.92589,                0.92061,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.8117,                0.40263,                      0,                0.86311,                0.91994,                0.84601,                0.87695,                 0.9053,                0.45032,                0.86895,                0.90278,                0.93616,                 0.8502,                 1.8338,                0.39636,                      0,                0.88737,                0.92265,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.8076,                0.42944,                      0,                0.88218,                0.92025,                0.87437,                0.81221,                0.88764,                0.41227,                0.89514,                0.84161,                0.92792,                0.82807,                  1.903,                0.38612,                      0,                0.92167,                0.93285,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.8685,                0.42337,                      0,                0.91705,                0.92948,                0.88229,                0.76526,                0.87517,                0.43605,                0.87875,                0.79343,                0.90784,                0.80683,                 1.8629,                0.43171,                      0,                0.89887,                0.92211,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.9028,                0.40724,                      0,                0.93521,                0.92405,                0.88311,                0.85446,                0.90553,                 0.4401,                0.89996,                0.87324,                0.94335,                0.85491,                 1.8714,                0.40086,                      0,                0.83043,                0.92407,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.7972,                0.37888,                      0,                0.88551,                0.91021,                0.86624,                0.82088,                0.89858,                0.42789,                0.89573,                0.84691,                0.93891,                0.83965,                 1.8122,                0.39459,                      0,                0.86363,                0.92364,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.7836,                0.39789,                      0,                0.85382,                0.91015,                0.87547,                0.81221,                0.88531,                0.44484,                0.87759,                0.87516,                0.94601,                0.85369,                 1.7669,                0.40508,                      0,                0.85847,                0.92011,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.7792,                0.38581,                      0,                0.85838,                0.91114,                0.87466,                0.81221,                0.89764,                0.42441,                0.89373,                0.86854,                0.93816,                0.86365,                 1.8506,                0.37739,                      0,                0.88785,                0.92681,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.7815,                0.39684,                      0,                0.86361,                0.91847,                0.83875,                0.87793,                0.90561,                 0.4371,                 0.8666,                 0.9061,                0.94569,                0.86563,                 1.9309,                0.35483,                      0,                0.82015,                0.93487,              0.0018456,              0.0018456,              0.0018456
